session_id,avg_latency,avg_jitter,iat_variance,packet_loss,seq_gap_rate,codec_mismatch,label
0.0,0.011056,0.003844,2.105e-05,0.0,0.0,0.0,0
1.0,0.011297,0.003633,1.532e-05,0.0,0.0,0.0,0
2.0,0.011965,0.006728,4.789e-05,0.0,0.0,0.5,0
3.0,0.011455,0.003979,2.388e-05,0.0,0.0,0.0,0
4.0,0.012076,0.003357,1.935e-05,0.0,0.0,0.0,0
5.0,0.014258,0.005383,4.528e-05,0.0,0.0,0.0,0
6.0,0.012973,0.003313,3.357e-05,0.0,0.0,0.0,0
7.0,0.009976,0.003288,1.724e-05,0.0167,0.0172,0.0,0
8.0,0.015851,0.009214,0.00013542,0.0,0.0,0.0,0
9.0,0.011204,0.003897,4.454e-05,0.0,0.0,0.0,0
10.0,0.013977,0.003691,0.00015601,0.0167,0.0172,0.0,0
11.0,0.018442,0.012349,0.00074866,0.0,0.0,0.0,0
12.0,0.013227,0.005116,3.535e-05,0.0,0.0,0.0,0
13.0,0.015279,0.007718,0.00028568,0.0,0.0,0.0,0
14.0,0.01605,0.005387,0.00062228,0.0,0.0,0.0,0
15.0,0.014749,0.005565,0.00029034,0.0,0.0,0.0,0
16.0,0.018185,0.011749,0.00080317,0.0,0.0,0.0,0
17.0,0.014854,0.010592,0.00021081,0.0,0.0,0.0,0
18.0,0.017259,0.006048,0.00035796,0.0,0.0,0.0,0
19.0,0.014649,0.013132,0.00034156,0.0,0.0,0.0,0
20.0,0.012478,0.004169,2.648e-05,0.0,0.0,0.0,0
21.0,0.01538,0.012513,0.00023542,0.0,0.0,0.0,0
22.0,0.015264,0.00577,9.773e-05,0.0,0.0,0.0,0
23.0,0.012315,0.00924,0.00012789,0.0,0.0,0.0,0
24.0,0.011701,0.003725,1.986e-05,0.0,0.0,0.0,0
25.0,0.010736,0.002744,9.15e-06,0.0167,0.0172,0.0,0
26.0,0.016078,0.013546,0.00029251,0.0,0.0,0.0,0
27.0,0.01145,0.003101,2.391e-05,0.0,0.0,0.0,0
28.0,0.017779,0.007337,0.00019805,0.0,0.0,0.0,0
29.0,0.012641,0.003746,4.204e-05,0.0,0.0,0.0,0
30.0,0.013742,0.006447,0.00012358,0.0,0.0,0.0,0
31.0,0.014742,0.007155,0.00014341,0.0,0.0,0.0,0
32.0,0.015582,0.007262,7.935e-05,0.0,0.0,0.0,0
33.0,0.013697,0.004283,0.00012525,0.0,0.0,0.0,0
34.0,0.017705,0.018284,0.00303728,0.0,0.0,0.0,0
35.0,0.01365,0.003789,5.63e-05,0.0,0.0,0.0,0
36.0,0.016738,0.011717,0.0007095,0.0,0.0,0.0,0
37.0,0.017964,0.006713,0.00024439,0.0,0.0,0.0,0
38.0,0.016846,0.009109,0.00028847,0.0,0.0,0.0,0
39.0,0.019152,0.011757,0.00087291,0.0,0.0,0.0,0
40.0,0.011574,0.004058,2.323e-05,0.0,0.0,0.0,0
41.0,0.012584,0.007774,7.158e-05,0.0,0.0,0.0,0
42.0,0.016867,0.007978,0.00013084,0.0,0.0,0.0,0
43.0,0.015117,0.009713,0.00013959,0.0,0.0,0.0,0
44.0,0.012215,0.003311,2.484e-05,0.0,0.0,0.0,0
45.0,0.015084,0.007928,0.00020181,0.0,0.0,0.5,0
46.0,0.01497,0.009863,0.0007331,0.0,0.0,0.0,0
47.0,0.015816,0.004727,0.00023083,0.0,0.0,0.0,0
48.0,0.012443,0.004566,5.789e-05,0.0,0.0,0.0,0
49.0,0.013737,0.005805,3.795e-05,0.0,0.0,0.0,0
50.0,0.01048,0.003902,2.482e-05,0.0,0.0,0.0,0
51.0,0.012503,0.005486,0.00014102,0.0,0.0,0.0,0
52.0,0.012106,0.005581,4.292e-05,0.0,0.0,0.0,0
53.0,0.014806,0.007565,0.00010119,0.0,0.0,0.0,0
54.0,0.021026,0.008795,0.00043908,0.0,0.0,0.0,0
55.0,0.01444,0.008379,8.527e-05,0.0167,0.0172,0.0,0
56.0,0.01703,0.01183,0.0002423,0.0,0.0,0.0,0
57.0,0.014726,0.008437,0.00017126,0.0,0.0,0.0,0
58.0,0.018088,0.006768,0.00023107,0.0,0.0,0.0,0
59.0,0.013805,0.006941,3.708e-05,0.0,0.0,0.0,0
60.0,0.014605,0.008753,0.00013409,0.0,0.0,0.0,0
61.0,0.016264,0.0052,0.00037324,0.0,0.0,0.0,0
62.0,0.022478,0.008412,0.00252543,0.0,0.0,0.0,0
63.0,0.012053,0.00385,2.421e-05,0.0,0.0,0.5,0
64.0,0.014819,0.006178,8.153e-05,0.0,0.0,0.5,0
65.0,0.015758,0.005637,0.00013802,0.0,0.0,0.0,0
66.0,0.014806,0.005071,0.00012618,0.0,0.0,0.0,0
67.0,0.01476,0.007788,0.00013806,0.0167,0.0172,0.0,0
68.0,0.01355,0.004857,4.608e-05,0.0,0.0,0.0,0
69.0,0.011374,0.003705,1.87e-05,0.0,0.0,0.0,0
70.0,0.01293,0.004059,4.808e-05,0.0,0.0,0.0,0
71.0,0.014979,0.005524,0.00011808,0.0,0.0,0.5,0
72.0,0.01219,0.005921,5.137e-05,0.0,0.0,0.0,0
73.0,0.015232,0.008435,0.00039976,0.0,0.0,0.0,0
74.0,0.016646,0.009243,0.00059506,0.0,0.0,0.0,0
75.0,0.016774,0.00633,0.00035935,0.0,0.0,0.0,0
76.0,0.014808,0.010944,0.00011766,0.0,0.0,0.0,0
77.0,0.013245,0.006644,0.00010706,0.0,0.0,0.0,0
78.0,0.01625,0.006293,0.00012399,0.0167,0.0172,0.0,0
79.0,0.013957,0.009249,0.00013849,0.0,0.0,0.0,0
80.0,0.019426,0.014156,0.00053329,0.0,0.0,0.0,0
81.0,0.012312,0.005432,5.265e-05,0.0,0.0,0.0,0
82.0,0.011589,0.003689,1.477e-05,0.0,0.0,0.0,0
83.0,0.011854,0.003795,2.878e-05,0.0,0.0,0.0,0
84.0,0.017369,0.008665,0.00050974,0.0,0.0,0.5,0
85.0,0.014421,0.004815,8.979e-05,0.0,0.0,0.0,0
86.0,0.016363,0.005726,0.00042253,0.0167,0.0172,0.0,0
87.0,0.014885,0.005168,7.4e-05,0.0,0.0,0.0,0
88.0,0.011672,0.005138,2.598e-05,0.0,0.0,0.0,0
89.0,0.011756,0.00322,7.449e-05,0.0,0.0,0.0,0
90.0,0.015696,0.012075,0.00013962,0.0,0.0,0.0,0
91.0,0.016149,0.006528,0.00021502,0.0,0.0,0.0,0
92.0,0.016243,0.007378,0.00026069,0.0,0.0,0.0,0
93.0,0.014911,0.013437,0.00020412,0.0,0.0,0.0,0
94.0,0.01946,0.00769,0.00055385,0.0,0.0,0.0,0
95.0,0.010504,0.003659,3.07e-05,0.0,0.0,0.0,0
96.0,0.011081,0.004781,3.769e-05,0.0,0.0,0.0,0
97.0,0.018974,0.013489,0.0006857,0.0,0.0,0.0,0
98.0,0.011083,0.004276,2.748e-05,0.0,0.0,0.0,0
99.0,0.013891,0.007641,0.00011962,0.0,0.0,0.0,0
100.0,0.013627,0.004466,4.435e-05,0.0,0.0,0.0,0
101.0,0.016375,0.005911,0.00016676,0.0,0.0,0.0,0
102.0,0.016419,0.009499,0.00032871,0.0,0.0,0.0,0
103.0,0.013769,0.006053,4.69e-05,0.0,0.0,0.0,0
104.0,0.012083,0.003303,4.291e-05,0.0167,0.0172,0.0,0
105.0,0.011541,0.004607,4.066e-05,0.0167,0.0172,0.0,0
106.0,0.012809,0.003668,8.065e-05,0.0,0.0,0.0,0
107.0,0.010819,0.004559,2.148e-05,0.0,0.0,0.0,0
108.0,0.010608,0.003322,2.318e-05,0.0,0.0,0.0,0
109.0,0.012605,0.003537,0.00011156,0.0,0.0,0.0,0
110.0,0.014231,0.005819,6.537e-05,0.0,0.0,0.0,0
111.0,0.013408,0.004208,0.00015209,0.0,0.0,0.0,0
112.0,0.013303,0.009035,8.425e-05,0.0,0.0,0.0,0
113.0,0.015801,0.015163,0.00070634,0.0,0.0,0.0,0
114.0,0.018125,0.01245,0.0006122,0.0,0.0,0.0,0
115.0,0.011298,0.004266,2.557e-05,0.0,0.0,0.0,0
116.0,0.011404,0.004003,2.155e-05,0.0,0.0,0.0,0
117.0,0.012293,0.004955,3.45e-05,0.0,0.0,0.5,0
118.0,0.013754,0.006246,6.098e-05,0.0,0.0,0.0,0
119.0,0.013723,0.008527,0.0001176,0.0,0.0,0.0,0
120.0,0.014619,0.007312,0.00015505,0.0,0.0,0.0,0
121.0,0.016386,0.009355,0.00046333,0.0,0.0,0.0,0
122.0,0.012775,0.003659,0.00012086,0.0,0.0,0.0,0
123.0,0.012723,0.006252,4.128e-05,0.0,0.0,0.0,0
124.0,0.016905,0.016227,0.00047368,0.0,0.0,0.0,0
125.0,0.012537,0.003851,5.445e-05,0.0167,0.0172,0.0,0
126.0,0.016086,0.006693,0.00031628,0.0,0.0,0.0,0
127.0,0.017668,0.006244,0.00037536,0.0,0.0,0.0,0
128.0,0.015289,0.010009,0.00018742,0.0,0.0,0.0,0
129.0,0.013584,0.007665,9.195e-05,0.0,0.0,0.0,0
130.0,0.012794,0.004168,5.98e-05,0.0,0.0,0.0,0
131.0,0.012735,0.003882,3.945e-05,0.0,0.0,0.0,0
132.0,0.018738,0.023114,0.0018717,0.0,0.0,0.0,0
133.0,0.011923,0.00398,2.259e-05,0.0,0.0,0.0,0
134.0,0.015023,0.005142,0.00025723,0.05,0.0536,0.0,0
135.0,0.012328,0.003454,7.729e-05,0.0,0.0,0.0,0
136.0,0.015014,0.009152,0.00030251,0.0,0.0,0.0,0
137.0,0.016802,0.007471,0.00035953,0.0,0.0,0.0,0
138.0,0.013787,0.007213,0.00012219,0.0,0.0,0.0,0
139.0,0.012858,0.004398,7.322e-05,0.0,0.0,0.0,0
140.0,0.013687,0.007037,0.00011136,0.0,0.0,0.0,0
141.0,0.014287,0.007505,7.124e-05,0.0,0.0,0.0,0
142.0,0.015351,0.007531,0.00017218,0.0167,0.0172,0.0,0
143.0,0.012983,0.006344,0.00011414,0.0,0.0,0.0,0
144.0,0.015828,0.007926,0.00055685,0.0,0.0,0.0,0
145.0,0.012136,0.003993,3.036e-05,0.0,0.0,0.0,0
146.0,0.014647,0.006168,8.118e-05,0.0,0.0,0.0,0
147.0,0.014074,0.006075,3.511e-05,0.0167,0.0172,0.0,0
148.0,0.013813,0.005679,0.00012124,0.0,0.0,0.0,0
149.0,0.018869,0.019662,0.00239581,0.0,0.0,0.0,0
150.0,0.011567,0.005031,3.675e-05,0.0,0.0,0.0,0
151.0,0.014701,0.005396,0.00023457,0.0,0.0,0.5,0
152.0,0.015956,0.006514,9.603e-05,0.0,0.0,0.0,0
153.0,0.013976,0.003432,0.00014346,0.0,0.0,0.0,0
154.0,0.014848,0.004022,0.00019516,0.0,0.0,0.0,0
155.0,0.013887,0.007818,8.938e-05,0.0,0.0,0.0,0
156.0,0.013846,0.006566,0.00019855,0.0,0.0,0.0,0
157.0,0.016052,0.012487,0.0005247,0.0,0.0,0.0,0
158.0,0.01202,0.003462,1.721e-05,0.0,0.0,0.0,0
159.0,0.013787,0.004085,0.00010294,0.0,0.0,0.0,0
160.0,0.015924,0.008515,0.00040823,0.0,0.0,0.0,0
161.0,0.018171,0.012413,0.00070673,0.0,0.0,0.0,0
162.0,0.01372,0.005146,0.00023542,0.0,0.0,0.0,0
